Dataset,VMD_DC,VMD_IMF1,VMD_IMF2,VMD_IMF3,VMD_Alpha,VMD_K,VMD_Tau,Temp_Best_Model,Temp_RMSE,SVR_Prediction,LSTM_Prediction,Combined_Prediction,SOH
B0005,0.0000,-0.0029,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7718,NaN,NaN,100.0000
B0005,0.0000,-0.0034,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.8096,NaN,NaN,99.6301
B0005,-0.0000,-0.0032,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.8463,NaN,NaN,98.8664
B0005,-0.0002,-0.0000,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7995,NaN,NaN,98.8898
B0005,0.0005,-0.0012,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.8563,NaN,NaN,98.8943
B0005,-0.0009,0.0010,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7959,NaN,NaN,98.5009
B0005,0.0013,0.0015,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.0897,NaN,NaN,98.1267
B0005,-0.0015,-0.0001,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7919,NaN,NaN,97.7473
B0005,0.0014,-0.0015,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7085,NaN,NaN,97.7417
B0005,-0.0014,0.0021,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7795,NaN,NaN,97.3834
B0005,0.0012,0.0015,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7204,NaN,NaN,96.9920
B0005,-0.0008,-0.0011,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.8010,NaN,NaN,96.5924
B0005,0.0000,0.0016,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7301,NaN,NaN,96.2273
B0005,0.0009,0.0024,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7874,NaN,NaN,96.2490
B0005,-0.0018,0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7038,NaN,NaN,96.2363
B0005,0.0027,0.0016,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7815,NaN,NaN,96.6436
B0005,-0.0035,0.0038,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7031,NaN,NaN,99.2898
B0005,0.0042,0.0021,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.8018,NaN,NaN,97.7867
B0005,-0.0046,-0.0011,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.8570,NaN,NaN,97.0200
B0005,0.0043,0.0004,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7893,NaN,NaN,96.6291
B0005,-0.0034,0.0049,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.6867,NaN,NaN,96.2612
B0005,0.0027,-0.0016,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.8207,NaN,NaN,95.8846
B0005,-0.0018,-0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7516,NaN,NaN,95.8647
B0005,0.0006,0.0000,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.8232,NaN,NaN,95.4700
B0005,0.0007,-0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.6805,NaN,NaN,95.1223
B0005,-0.0019,-0.0041,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.8219,NaN,NaN,95.1460
B0005,0.0030,-0.0022,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7046,NaN,NaN,95.1498
B0005,-0.0039,-0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.8036,NaN,NaN,94.7467
B0005,0.0047,-0.0059,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.9727,NaN,NaN,94.7603
B0005,-0.0055,-0.0016,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7877,NaN,NaN,94.4237
B0005,0.0058,0.0009,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.7222,NaN,NaN,94.0251
B0005,-0.0052,-0.0007,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7601,NaN,NaN,93.9849
B0005,0.0042,-0.0016,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,0.6942,NaN,NaN,95.5590
B0005,-0.0031,0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,1.7844,NaN,NaN,96.7317
B0005,0.0020,0.0021,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0008,0.0017,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0002,-0.0023,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0007,0.0058,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0007,0.0011,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0006,-0.0014,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0006,0.0053,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0010,-0.0009,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0018,-0.0000,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0027,-0.0008,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0036,0.0005,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0045,-0.0017,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0052,-0.0011,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0052,0.0035,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0043,0.0024,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0033,0.0014,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0022,0.0009,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0011,-0.0010,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0003,0.0001,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0003,-0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0007,-0.0006,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0008,-0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0008,-0.0043,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0009,0.0012,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0011,-0.0015,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0013,-0.0017,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0013,-0.0015,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0014,-0.0005,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0013,0.0006,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0010,0.0019,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0007,0.0004,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0005,0.0007,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0003,-0.0000,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0002,0.0010,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0002,-0.0008,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0002,-0.0010,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0002,-0.0003,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0000,-0.0009,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0003,0.0005,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0005,0.0016,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0008,0.0016,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0010,0.0020,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0012,0.0017,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0012,0.0019,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0011,-0.0042,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0005,0.0036,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0000,-0.0005,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0004,-0.0029,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0003,0.0025,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0005,-0.0016,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0019,-0.0001,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0036,-0.0022,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0058,0.0008,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0080,-0.0008,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0099,-0.0026,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,0.0106,0.0049,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
B0005,-0.0096,0.0018,0.0000,0.0000,2000.0000,8,0.50,No Temperature,0.0035,NaN,NaN,NaN,NaN
